Group,Sample,Energy (eV),Filename,Detector,Angle Range,Count Time,Trim Start,Trim End,Position X,Position Y,Min Angle,Max Angle
1,UVStack,270.0005,UVStack_C_CT1000010.dat,cem digital,0.00 - 1.00,0.5,0,-1,21.0,5.0062,0.0,0.9995
1,UVStack,270.0005,UVStack_C_CT2000010.dat,cem digital,0.00 - 1.00,2.0,0,-1,21.0,5.0062,0.0,1.0
2,UVStack,270.0005,UVStack_C_PD000026.dat,photodiode,-0.00 - 0.88,,1,-1,21.501,5.0062,-0.001,0.8835
3,UVStack,280.0009,UVStack_C_PD000000.dat,photodiode,0.00 - 12.00,,0,-21,19.499,5.0153,0.0005,11.9985
3,UVStack,280.0009,UVStack_C_CT1000000.dat,cem digital,10.00 - 20.00,0.2,0,-27,19.499,5.0153,10.0,20.0
3,UVStack,280.0009,UVStack_C_CT2000000.dat,cem digital,18.00 - 31.86,1.0,0,-17,19.499,5.0153,18.0,31.86
4,UVStack,280.0009,UVStack_C_CT3000000.dat,cem digital,29.00 - 45.00,2.0,0,-6,19.503,5.0212,29.0,45.0
5,UVStack,282.0011,UVStack_C_PD000001.dat,photodiode,0.00 - 12.00,,0,-22,19.5,5.0109,0.0005,11.9985
6,UVStack,284.0014,UVStack_C_PD000002.dat,photodiode,0.00 - 12.00,,0,-15,19.502,5.0137,0.0005,11.9985
6,UVStack,284.0014,UVStack_C_CT1000001.dat,cem digital,8.00 - 20.00,0.2,0,-28,19.502,5.0137,8.0,20.0005
6,UVStack,284.0014,UVStack_C_CT2000001.dat,cem digital,18.00 - 31.86,1.0,0,-20,19.502,5.0137,18.0,31.86
6,UVStack,284.0014,UVStack_C_CT3000001.dat,cem digital,29.00 - 45.00,2.0,0,-2,19.502,5.0137,29.0,45.0
7,UVStack,284.5008,UVStack_C_PD000003.dat,photodiode,0.00 - 12.00,,0,-15,19.751,5.0119,0.0005,11.9995
8,UVStack,285.0009,UVStack_C_PD000004.dat,photodiode,0.00 - 12.00,,0,-6,20.002,5.0137,0.0005,11.9985
8,UVStack,285.0009,UVStack_C_CT1000002.dat,cem digital,7.00 - 20.00,0.2,0,-28,20.002,5.0137,7.0,20.0005
8,UVStack,285.0009,UVStack_C_CT2000002.dat,cem digital,18.00 - 31.86,1.0,0,-22,20.002,5.0137,18.0,31.86
8,UVStack,285.0009,UVStack_C_CT3000002.dat,cem digital,29.00 - 45.00,2.0,0,-1,20.002,5.0137,29.0,45.0
9,UVStack,285.5008,UVStack_C_PD000005.dat,photodiode,0.00 - 12.00,,0,-1,20.002,5.0122,0.0005,11.999
10,UVStack,286.0013,UVStack_C_PD000006.dat,photodiode,0.00 - 12.00,,0,-1,20.001,5.0147,0.0005,11.999
10,UVStack,286.0013,UVStack_C_CT1000003.dat,cem digital,6.00 - 20.00,0.2,0,-31,20.001,5.0147,6.0,20.0005
10,UVStack,286.0013,UVStack_C_CT2000003.dat,cem digital,18.00 - 31.86,1.0,0,-33,20.001,5.0147,18.0,31.86
10,UVStack,286.0013,UVStack_C_CT3000003.dat,cem digital,29.00 - 45.00,3.0,0,-24,20.001,5.0147,29.0,45.0
11,UVStack,286.5015,UVStack_C_PD000007.dat,photodiode,0.00 - 12.00,,0,-1,20.002,5.0122,0.0005,11.999
12,UVStack,287.0014,UVStack_C_CT1000004.dat,cem digital,6.00 - 20.00,0.5,0,-26,20.001,5.0156,6.0,20.0
12,UVStack,287.0014,UVStack_C_CT2000004.dat,cem digital,18.00 - 31.86,1.0,1,-24,20.001,5.0156,18.0,31.86
12,UVStack,287.0014,UVStack_C_CT3000004.dat,cem digital,29.00 - 45.00,0.1,0,-1,20.001,5.0156,29.0,45.0005
13,UVStack,287.0014,UVStack_C_PD000008.dat,photodiode,0.00 - 12.00,,0,-1,20.252,5.0131,0.0005,11.9985
14,UVStack,287.501,UVStack_C_PD000009.dat,photodiode,0.00 - 12.00,,0,-1,20.252,5.0116,0.0005,11.999
15,UVStack,288.0012,UVStack_C_PD000010.dat,photodiode,0.00 - 12.00,,0,-1,20.502,5.0159,0.0005,11.9985
15,UVStack,288.0012,UVStack_C_CT1000005.dat,cem digital,6.00 - 20.00,0.5,0,-31,20.502,5.0159,6.0,20.0
15,UVStack,288.0012,UVStack_C_CT2000005.dat,cem digital,18.00 - 31.86,3.0,0,-55,20.502,5.0159,18.0,31.86
15,UVStack,288.0012,UVStack_C_CT3000005.dat,cem digital,29.00 - 45.00,1.0,0,-26,20.502,5.0159,29.0,45.0
16,UVStack,288.5011,UVStack_C_PD000011.dat,photodiode,0.00 - 12.00,,0,-1,20.502,5.0134,0.0005,11.9985
17,UVStack,289.0006,UVStack_C_PD000012.dat,photodiode,0.00 - 12.00,,0,-1,20.501,5.0162,0.0005,11.9985
17,UVStack,289.0006,UVStack_C_CT1000006.dat,cem digital,6.00 - 20.00,0.5,0,-31,20.501,5.0162,6.0,20.0
17,UVStack,289.0006,UVStack_C_CT2000006.dat,cem digital,18.00 - 31.86,2.0,0,-35,20.501,5.0162,18.0,31.86
18,UVStack,289.5007,UVStack_C_PD000013.dat,photodiode,0.00 - 12.00,,0,-1,20.501,5.0128,0.0005,11.999
19,UVStack,290.0016,UVStack_C_CT1000007.dat,cem digital,7.00 - 20.00,0.5,0,-9,20.501,5.0162,7.0,20.0
19,UVStack,290.0016,UVStack_C_CT2000007.dat,cem digital,18.00 - 31.86,2.0,0,-36,20.501,5.0162,18.0,31.86
20,UVStack,290.0016,UVStack_C_PD000014.dat,photodiode,0.00 - 12.00,,0,-1,20.752,5.0103,0.0005,11.9985
21,UVStack,291.001,UVStack_C_PD000015.dat,photodiode,0.00 - 12.00,,0,-1,20.751,5.0103,0.0005,11.9985
22,UVStack,292.0008,UVStack_C_PD000016.dat,photodiode,0.00 - 12.00,,0,-1,20.751,5.0112,0.0005,11.9985
23,UVStack,293.001,UVStack_C_PD000017.dat,photodiode,0.00 - 12.00,,0,-1,21.003,5.0128,0.0005,11.9985
24,UVStack,294.0014,UVStack_C_PD000018.dat,photodiode,0.00 - 12.00,,0,-1,21.002,5.0106,0.0005,11.999
25,UVStack,295.0011,UVStack_C_PD000019.dat,photodiode,0.00 - 12.00,,0,-1,21.002,5.0194,0.0005,11.9985
25,UVStack,295.0011,UVStack_C_CT1000008.dat,cem digital,7.00 - 20.00,0.5,0,-10,21.002,5.0194,7.0,20.0
25,UVStack,295.0011,UVStack_C_CT2000008.dat,cem digital,18.00 - 31.86,2.0,0,-38,21.002,5.0194,18.0,31.86
26,UVStack,296.0009,UVStack_C_PD000020.dat,photodiode,0.00 - 12.00,,0,-1,21.252,5.01,0.0005,11.9985
27,UVStack,297.0008,UVStack_C_PD000021.dat,photodiode,0.00 - 12.00,,0,-1,21.252,5.0091,0.0005,11.999
28,UVStack,298.0007,UVStack_C_PD000022.dat,photodiode,0.00 - 12.00,,0,-1,21.252,5.0128,0.0005,11.999
29,UVStack,300.0015,UVStack_C_PD000023.dat,photodiode,0.00 - 12.00,,0,-1,21.001,5.0159,0.0005,11.999
29,UVStack,300.0015,UVStack_C_CT1000009.dat,cem digital,7.00 - 20.00,0.5,0,-11,21.001,5.0159,7.0,20.0
29,UVStack,300.0015,UVStack_C_CT2000009.dat,cem digital,18.00 - 31.86,2.0,0,-12,21.001,5.0159,18.0,31.86
30,UVStack,350.0172,UVStack_C_PD000024.dat,photodiode,249.99 - 350.01,,0,-1,21.502,5.0081,249.985272,350.014081
30,UVStack,350.0172,UVStack_C_PD000025.dat,photodiode,249.98 - 350.01,,0,-1,21.502,5.0081,249.982897,350.014081
